Filename,Formula,Density,DeltaH,Velocity,Pressure,Temperature,Volume,H50,H
confmin1m71,C4H4N8O5,1.7048117539999998,106.7145260177505,7674.475282731668,25.273996833623894,4843.278953814344,688.1715919817524,1.062000000000001,3333006.9880581335
confmin1m72,C4H5N7O3,1.647401474,102.739722218562,6986.869237137747,20.501281122428843,4054.839704135675,703.0667772825065,2.6332317073170723,2850823.0831838213
confmin1m75,C4H5N9O5,1.7170093400000002,116.45216948124616,7708.38517758058,25.610850131730412,4688.247371208709,713.128589278837,0.99705,3343323.234020283
confmin1m76,C4H7N9O3,1.782918894,137.5477447633343,7479.339520665695,24.672627098115942,3768.3305284375865,781.9970319023372,0,2946823.2884651585
confmin1m77,C4H6N8O3,1.624962448,107.32042158205657,6928.292243483865,19.982906856902577,3898.431206741001,732.2235911980749,2.8041341463414646,2854523.2982385405
confmin1m78,C4H5N7O3,1.620439634,99.3122963775908,6901.574717546868,19.793568288474304,4037.6274950327356,703.0667772825065,2.581960975609756,2838721.7507999046
confmin1m79,C4H6N8O3,1.635016162,106.45399452089288,6955.579674590942,20.2204408438258,3894.385171388996,732.2235911980749,3.4411627906976747,2851560.695702981
confmin1m8,C4H6N8O3,1.656706996,112.89949864864842,7031.8539045919815,20.840579034422664,3924.4843438771795,732.2235911980749,-1.2566667829689777,2873600.0198743693
confmin1m80,C4H4N8O5,1.705356546,109.4699608694021,7680.63353617949,25.319604057953264,4854.56593009552,688.1715919817524,0.974782258064516,3340774.3644942106
confmin1m81,C4H3N7O5,1.7043245059999999,98.76127279800848,7674.882366669307,25.272185136003444,5026.418704791547,659.9435067407643,1.1066666666666678,3317152.3863875037
confmin1m82,C4H4N8O5,1.7242533,108.45001299355141,7737.619655795957,25.872696453384446,4850.387958884965,688.1715919817524,0.966122580645161,3337899.203394989
confmin1m84,C4H6N8O3,1.6193918,105.32550127344587,6908.038843901375,19.822405301784368,3889.1153410959096,732.2235911980749,3.819709302325582,2847702.001640773
confmin1m85,C4H5N7O3,1.6253877600000002,101.58929378050549,6920.756704757272,19.942814883094343,4049.0623610938237,703.0667772825065,3.6123488372093027,2846761.2252301313
